name,danger_rate,location,age,group,last_seen,notes
Abdullah Al-Farra,10,Deir al-Balah,51,Hamas,2026-01-02,No recent activity
Sami Al-Najjar,10,Rafah,26,Hamas,2026-01-05,Low risk
Youssef Doghmush,9,Khan Younis,42,Palestinian Islamic Jihad,2026-01-06,No recent activity
Khaled Gazzawi,9,Khan Younis,45,Hamas,2026-01-10,Rocket unit member
Ziad Awad,8,Jabalia,26,Hamas,2026-01-04,Known associate
Ziad Haddad,8,Khan Younis,50,Hamas,2026-01-12,Weapons handler
Omar Radwan,7,Rafah,37,Palestinian Islamic Jihad,2026-01-11,Tunnel operative
Youssef Gazzawi,7,Rafah,36,Hamas,2026-01-04,Tunnel operative
Nasser Abu Taha,6,Gaza City,40,Palestinian Islamic Jihad,2026-01-09,Propaganda distributor
Omar Al-Qudsi,5,Khan Younis,31,Hamas,2026-01-02,Weapons handler
Fadi Hilles,5,Khan Younis,37,Hamas,2026-01-05,Tunnel operative
Khaled Abu Jaber,4,Gaza City,50,Popular Front for the Liberation of Palestine,2026-01-08,Minimal threat
Hassan Haddad,4,Deir al-Balah,26,Hamas,2026-01-16,Historical record
Ali Gazzawi,4,Khan Younis,37,Palestinian Islamic Jihad,2026-01-12,Low risk
Mahmoud Shamallakh,3,Jabalia,37,Popular Front for the Liberation of Palestine,2026-01-03,Weapons handler
Ali Al-Bardawil,3,Rafah,48,Popular Front for the Liberation of Palestine,2026-01-06,Critical level
Ziad Abu Shamala,2,Deir al-Balah,42,Palestinian Islamic Jihad,2026-01-08,Logistics coordinator
Fadi Abu Taha,1,Gaza City,25,Popular Front for the Liberation of Palestine,2026-01-12,Critical level
Omar Abu Taha,1,Rafah,52,Palestinian Islamic Jihad,2026-01-06,Tunnel operative
Raed Al-Najjar,1,Deir al-Balah,26,Popular Front for the Liberation of Palestine,2026-01-07,Inactive
